Database,Schema,Table/View,Table or View,Description,Date_Range,Data Start,Data End,Link,Link Type,Author,Created_Date,Last_Update_By,Last_Update_Date,Release schedule,Provisional Schedule,Updated Frequency,Only Historic
NHSE_Reference,dbo,tbl_Ref_PbR_GroupingMethod,Table,Grouping method codes and descriptions.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_AEA_PatientGroup,Table,A&E patient group codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/a_and_e_patient_group_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/15/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Area_Team_By_Group,Table,"Quality and outcomes framework (QOF) points by area team and group, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Commissioner_By_Domain,Table,"Quality and outcomes framework (QOF) points by commissioner and domain, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_APC_HRG_1617,Table,APC tariffs for 2016/17.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_Other_ProvToLAT,Table,Provider to LAT mapping (contracted specialised).,N/A,N/A,N/A,https://digital.nhs.uk/organisation-data-service,NHS Digital - ODS,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_HRG_1112,Table,"HRG codes, descriptions and other attributes in 2011/12.",N/A,N/A,N/A,http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_AEA_ReferralSource,Table,A&E referral source codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/smo/source_of_referral_for_a_and_e_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/15/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Commissioner_By_Group,Table,"Quality and outcomes framework (QOF) points by commissioner and group, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Commissioning_Region_By_Domain,Table,"Quality and outcomes framework (QOF) points by commissioning region and domain, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_MFF_1617,Table,MFF indices for 2016/17.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_HRG_1213,Table,"HRG codes, descriptions and other attributes in 2012/13.",N/A,N/A,N/A,http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_AEA_Stream,Table,A&E stream codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/a_and_e_stream_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/15/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Commissioning_Region_By_Group,Table,"Quality and outcomes framework (QOF) points by commissioning region and group, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Country_By_Domain,Table,"Quality and outcomes framework (QOF) points by area team and domain, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_OPA_HRG_1617,Table,OP procedure-based tariffs for 2016/17.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_HRG_1314,Table,"HRG codes, descriptions and other attributes in 2013/14.",N/A,N/A,N/A,http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_AEA_Treatment,Table,A&E treatment codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/web_site_content/supporting_information/clinical_coding/accident_and_emergency_treatment_tables.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/15/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Country_By_Group,Table,"Quality and outcomes framework (QOF) points by area team and group, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_Other_STP,Table,STP codes and descriptions.,N/A,N/A,N/A,https://www.england.nhs.uk/systemchange/,NHS England - System Change,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Practice_By_Domain,Table,"Quality and outcomes framework (QOF) points by practice and domain, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_OPA_TFC_1617,Table,OP attendance-based tariffs for 2016/17.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_HRG_1415,Table,"HRG codes, descriptions and other attributes in 2014/15.",N/A,N/A,N/A,http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_APC_AdmissionMethod,Table,Admission method codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/add/admission_method_de.asp,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Practice_By_Group,Table,"Quality and outcomes framework (QOF) points by practice and group, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_NCB_NPoC_Map_1314,Table,Includes service line and NPoC Codes and descriptions for 2013/14.,N/A,N/A,N/A,https://www.england.nhs.uk/commissioning/spec-services/npc-crg/,NHS England - Specialised Services,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_Other_CCGToSTP,Table,CCG to STP mappings.,N/A,N/A,N/A,https://www.england.nhs.uk/systemchange/,NHS England - System Change,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Subregion_By_Domain,Table,"Quality and outcomes framework (QOF) points by sub region and domain, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_ODS_GPPractice_ArmedForces,Table,"GP Practice code, description and other attributes, for armed forces practices, sourced from the NHS Organisation Data Service.",N/A,N/A,N/A,https://digital.nhs.uk/organisation-data-service,NHS Digital - ODS,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_MatchCriterionIndicator,Table,Match Criterion Indicator codes and descriptions.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_APC_AdmissionSource,Table,Admission source codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/smo/source_of_admission_de.asp,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Points_By_Subregion_By_Group,Table,"Quality and outcomes framework (QOF) points by sub region and group, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_NCB_NPoC_Map_1415,Table,Includes service line and NPoC Codes and descriptions for 2014/15.,N/A,N/A,N/A,https://www.england.nhs.uk/commissioning/spec-services/npc-crg/,NHS England - Specialised Services,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_ClinCode_ICD10_TOCE_Mapping,Table,ICD10 table of coding equivalence (TOCE) to show mapping between different ICD10 versions.,,,,https://digital.nhs.uk/article/1117/Clinical-Classifications,NHS Digital - Classifications,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Practice_Control,Table,"Quality and outcomes framework (QOF) practice control data, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_QualifiedInd,Table,Qualified codes and descriptions.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_APC_DischargeDestination,Table,Discharge destination codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/disc/discharge_destination_de.asp,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Prevalence_By_Area_Team,Table,"Quality and outcomes framework (QOF) prevalence data by area team, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_ODS_Region,Table,NHS England region codes and descriptions.,N/A,N/A,N/A,https://digital.nhs.uk/organisation-data-service,NHS Digital - ODS,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_NCB_NPoC_Map_1718TEST,Table,"Current test table, confirming the contents of tbl_Ref_NCB_NPoC_Map_1718.",N/A,N/A,N/A,https://www.england.nhs.uk/commissioning/spec-services/npc-crg/,NHS England - Specialised Services,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,vw_Ref_ODS_CCG,View,"CCG details, sourced from tbl_Ref_ODS_GPPractice.",N/A,N/A,N/A,https://digital.nhs.uk/organisation-data-service,NHS Digital - ODS,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Prevalence_By_Commissioner,Table,"Quality and outcomes framework (QOF) prevalence data by commissioner, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_SpellCompleteIndicator,Table,Spell Complete Indicator codes and descriptions.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_APC_DischargeMethod,Table,Discharge method codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/d/disc/discharge_method_de.asp,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Prevalence_By_Commissioning_Region,Table,"Quality and outcomes framework (QOF) prevalence data by commissioning region, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Prevalence_By_Country,Table,"Quality and outcomes framework (QOF) prevalence data by country, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_ODS_LATtoRegion,Table,"LAT to region mapping table, sourced from the NHS Organisation Data Service.",N/A,N/A,N/A,https://digital.nhs.uk/organisation-data-service,NHS Digital - ODS,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_SpellErrorStatus,Table,Spell Error status codes and descriptions.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_APC_IntendedManagement,Table,Intended management codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/i/int/intended_management_de.asp,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Prevalence_By_Practice,Table,"Quality and outcomes framework (QOF) prevalence data by practice, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_Other_ContProv_AF_1617,Table,Contracted providers for armed forces specialised activity.,N/A,N/A,N/A,https://www.england.nhs.uk/commissioning/spec-services/npc-crg/,NHS England - Specialised Services,Nathan Abbotts,12/19/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Prevalence_By_Subregion,Table,"Quality and outcomes framework (QOF) prevalence data by sub region, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_Other_ProvToRegion,Table,Provider to region mapping (contracted specialised).,N/A,N/A,N/A,https://www.england.nhs.uk/commissioning/spec-services/npc-crg/,NHS England - Specialised Services,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_SpellFrozenIndicator,Table,Spell Frozen indicator codes and descriptions.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_APC_PatientClassification,Table,Patient classification codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/p/pati/patient_classification_de.asp,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Register_Sizes,Table,"Quality and outcomes framework (QOF) register sizes, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_STPtoCCG,Table,Mapping of STP to CCG.,N/A,N/A,N/A,https://www.england.nhs.uk/systemchange/,NHS England - System Change,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Revised_Max_Points_Total,Table,"Quality and outcomes framework (QOF) revised maximum point data, sourced from UKHD.",Mar 2014 - Ongoing,Mar 2014,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_STP,Table,STP descriptions and the region of the STP.,N/A,N/A,N/A,https://www.england.nhs.uk/systemchange/,NHS England - System Change,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_SpellStatusIndicator,Table,Spell Status indicator codes and descriptions.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_OPA_AttendanceOutcome,Table,Attendance outcome code and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/o/out/outcome_of_attendance_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_QOF_Subregion_Control,Table,"Quality and outcomes framework (QOF) sub region control data, sourced from UKHD.",Mar 2015 - Ongoing,Mar 2015,Ongoing,http://content.digital.nhs.uk/qof,NHS Digital - QOF,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_NCB_NPoC_Map,Table,Includes service line and NPoC Codes and descriptions up to 2016/17.,N/A,N/A,N/A,https://www.england.nhs.uk/commissioning/spec-services/npc-crg/,NHS England - Specialised Services,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_ODS_CCGToRegion,Table,"CCG to Region mapping table, sourced from the NHS Organisation Data Service.",N/A,N/A,N/A,https://digital.nhs.uk/organisation-data-service,NHS Digital - ODS,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Completed_Admitted_Pathways_Adjusted_Commissioner,Table,"Referral to treatment (RTT) completed admitted pathways by adjusted commissioner, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_AEA_HRG_1112,Table,A&E tariffs for 2011/12.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_OPA_AttendanceStatus,Table,Attendance status code and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/at/attended_or_did_not_attend_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Completed_Admitted_Pathways_Adjusted_Provider,Table,"Referral to treatment (RTT) completed admitted pathways by adjusted provider, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_Other_ProvToCommHub,Table,Provider to commissioning hub mapping (contracted specialised).,N/A,N/A,N/A,https://www.england.nhs.uk/commissioning/spec-services/npc-crg/,NHS England - Specialised Services,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Completed_Admitted_Pathways_Commissioner,Table,"Referral to treatment (RTT) completed admitted pathways by commissioner, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_AEA_HRG_1213,Table,A&E tariffs for 2012/13.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_OPA_ConsultationMediumUsed,Table,Consultation medium used codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/cons/consultation_medium_used_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Completed_Admitted_Pathways_Provider,Table,"Referral to treatment (RTT) completed admitted pathways by provider, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Completed_NonAdmitted_Pathways_Commissioner,Table,"Referral to treatment (RTT) completed non-admitted pathways by commissioner, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_HRG_1516_DTR,Table,"HRG codes, descriptions and other attributes in 2015/16 Default Tariff Rollover (DTR).",N/A,N/A,N/A,http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_AEA_HRG_1314,Table,A&E tariffs for 2013/14.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_OPA_FirstAttendance,Table,First Attendance codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/f/first_attendance_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Completed_NonAdmitted_Pathways_Provider,Table,"Referral to treatment (RTT) completed non-admitted pathways by provider, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_DA_Audiology_Complete_Pathways_Commissioner,Table,"Referral to treatment (RTT) audiology completed pathways by commissioner, sourced from UKHD.",Oct 2008 - Ongoing,Oct 2008,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_HRG_1516_ETO,Table,"HRG codes, descriptions and other attributes in 2015/16 Enhanced Tariff Option (ETO).",N/A,N/A,N/A,http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_AEA_HRG_1415,Table,A&E tariffs for 2014/15.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_OPA_MedicalStaffType,Table,Medical staff type codes. and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/m/medical_staff_type_seeing_patient_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_DA_Audiology_Complete_Pathways_Provider,Table,"Referral to treatment (RTT) audiology completed pathways by provider, sourced from UKHD.",Oct 2008 - Ongoing,Oct 2008,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_DA_Audiology_Incomplete_Pathways_Commissioner,Table,"Referral to treatment (RTT) audiology incomplete pathways by commissioner, sourced from UKHD.",Oct 2008 - Ongoing,Oct 2008,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_AEA_HRG_1516_DTR,Table,A&E tariffs for 2015/16 Default Tariff Rollover.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_APC_BPT_1314,Table,APC best practice tariffs for 2013/14.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_OPA_PriorityType,Table,Priority type code and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/p/prio/priority_type_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_DA_Audiology_Incomplete_Pathways_Provider,Table,"Referral to treatment (RTT) audiology incomplete pathways by provider, sourced from UKHD.",Oct 2008 - Ongoing,Oct 2008,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Incomplete_Pathways_Commissioner,Table,"Referral to treatment (RTT) incomplete pathways by commissioner, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_AEA_HRG_1516_ETO,Table,A&E tariffs for 2015/16 Enhanced Tariff Option.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_APC_BPT_1415,Table,APC best practice tariffs for 2014/15.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_DataDic_OPA_ReferralSource,Table,Source of referral for outpatients codes and descriptions.,N/A,N/A,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/smo/source_of_referral_for_out-patients_de.asp?shownav=1,NHS Data Model And Dictionary,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_Incomplete_Pathways_Provider,Table,"Referral to treatment (RTT) incomplete pathways by provider, sourced from UKHD.",Apr 2011 - Ongoing,Apr 2011,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,vw_Ref_PbR_HRG_AllYr_Compound,View,"All HRG codes, descriptions and other attributes.",N/A,N/A,N/A,http://content.digital.nhs.uk/casemix,NHS Digital - Casemix,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_RTT_New_Data_Items_Provider,Table,"Referral to treatment (RTT) new data items by provider, sourced from UKHD.",Oct 2015 - Ongoing,Oct 2015,Ongoing,https://www.england.nhs.uk/resources/rtt/,NHS England - RTT,Nathan Abbotts,12/18/17,,,,,,
NHSE_Reference,dbo,tbl_Ref_PbR_Tariff_APC_BPT_1516_DTR,Table,APC best practice tariffs for 2015/16 Default Tariff Rollover.,N/A,N/A,N/A,https://improvement.nhs.uk/resources/developing-the-national-tariff/,NHS Improvement - National Tariff,Nathan Abbotts,12/18/17,,,,,,
